
SparkFun Test Program ...

Waiting for data
-9.60 01.05 91.05

-9.30 01.65 90.60

-9.00 01.65 89.85

-9.15 00.30 90.45

-9.60 01.50 90.45

-9.15 02.25 90.00

-11.25 00.45 91.35

-9.75 00.90 91.35

-7.95 00.90 90.90

-10.35 00.30 90.45

-11.55 00.45 90.60

-10.80 00.15 90.90

-9.75 00.15 89.10

-7.95 00.90 91.35

-10.35 01.80 90.75

-9.30 00.15 90.60

-9.30 00.15 91.95

-9.60 01.80 91.50

-10.80 00.15 90.15

-10.35 00.00 89.70

-10.05 00.45 90.90

-11.10 01.50 89.25

-9.60 -0.30 91.05

-9.15 00.75 91.50

-10.35 01.05 90.00

-8.70 00.45 90.60

-10.65 00.75 90.75

-10.05 00.90 89.40

-9.90 01.05 90.75

-10.80 00.90 89.85

-10.80 00.90 91.65

-8.85 -0.30 90.00

-10.80 00.90 90.60

-9.60 01.50 90.75

-9.30 00.45 88.80

-9.90 -0.30 89.70

-9.00 00.90 90.15

-8.85 00.75 90.00

-10.80 00.90 90.60

-9.60 -0.75 89.25

-9.60 01.50 90.45

-10.35 01.05 89.25

-10.35 01.05 90.00

-9.00 -0.15 89.85

-10.35 -0.75 91.05

-9.75 02.10 90.15

-7.20 02.10 90.60

-9.60 -0.30 91.05

-9.15 00.75 91.80

-8.40 00.30 90.75

-9.00 00.90 90.90

-8.70 01.65 91.95

-8.70 -0.90 90.60

-8.25 00.90 91.35

-10.35 00.75 91.05

-8.25 00.45 90.90

-10.50 00.15 93.15

-9.00 02.40 90.15

-9.00 01.65 91.65

-9.30 -0.45 89.85

Ending Example 1
